ID,Tweet,Affect Dimension,Intensity Class,Intensity,Clean_Tweet_Cased,Clean_Tweet
2017-En-21103,"@turoturok  We're glad to hear that everything is resolved. If you need anything else, please do not hesitate to reach out to us.  TY!",fear,0: no fear can be inferred,0,"We're glad to hear that everything is resolved. If you need anything else, please do not hesitate to reach out to us. TY!","we're glad to hear that everything is resolved. if you need anything else, please do not hesitate to reach out to us. ty!"
2017-En-21543,"I walked 3.4 miles today, the most I've walked since I got #rhabdo. Going back to work tomorrow.. here's to hoping it goes okay ",fear,0: no fear can be inferred,0,"I walked 3.4 miles today, the most I've walked since I got rhabdo. Going back to work tomorrow.. here's to hoping it goes okay","i walked 3.4 miles today, the most i've walked since i got rhabdo. going back to work tomorrow.. here's to hoping it goes okay"
2017-En-21625,@jkriv You're most welcome. Please check with us anytime you have a question or concern.,fear,0: no fear can be inferred,0,You're most welcome. Please check with us anytime you have a question or concern.,you're most welcome. please check with us anytime you have a question or concern.
2017-En-21240,Tweeting from the sporadic wifi on the tube #perilous,fear,0: no fear can be inferred,0,Tweeting from the sporadic wifi on the tube perilous,tweeting from the sporadic wifi on the tube perilous
2017-En-21572,"When's it all finished, you will discover that it was never random! #thoughts  #CrossoverLife",fear,0: no fear can be inferred,0,"When's it all finished, you will discover that it was never random! thoughts CrossoverLife","when's it all finished, you will discover that it was never random! thoughts crossoverlife"
2017-En-21268,@EASPORTSFIFA EA sports technical support team really suprised me 😊 SUPRISED ME AT HOW SHIT THEY WERE #awful,fear,0: no fear can be inferred,0,EA sports technical support team really suprised me smiling_face_with_smiling_eyes SUPRISED ME AT HOW SHIT THEY WERE awful,ea sports technical support team really suprised me smiling_face_with_smiling_eyes suprised me at how shit they were awful
2017-En-22042,there are magpies gathering around me help I'm going to be swooped ! #terrorism,fear,2: moderate amount of fear can be inferred,2,there are magpies gathering around me help I'm going to be swooped ! terrorism,there are magpies gathering around me help i'm going to be swooped ! terrorism
2017-En-21802,Chart music is pretty much ALL the same.. #horrific,fear,0: no fear can be inferred,0,Chart music is pretty much ALL the same.. horrific,chart music is pretty much all the same.. horrific
2017-En-21582,I would just give her with their naked body. ,fear,0: no fear can be inferred,0,I would just give her with their naked body.,i would just give her with their naked body.
2017-En-20925,Look at this #massiah of #youngleader\n#Pakistan #massiah of ,fear,0: no fear can be inferred,0,Look at this massiah of youngleader\nPakistan massiah of,look at this massiah of youngleader\npakistan massiah of
2017-En-21367,More #terror attacks on #India means something ominous for #Pakistan The current situation can't last long,fear,1: low amount of fear can be inferred,1,More terror attacks on India means something ominous for Pakistan The current situation can't last long,more terror attacks on india means something ominous for pakistan the current situation can't last long
2017-En-20220,"There's always that one song which makes you turn of the radio, as you'd rather sit in silence 😡 #awful",fear,1: low amount of fear can be inferred,1,"There's always that one song which makes you turn of the radio, as you'd rather sit in silence pouting_face awful","there's always that one song which makes you turn of the radio, as you'd rather sit in silence pouting_face awful"
2017-En-22049,@_JuliaSteiner : YES ! Right ? I mean I wish you hadn't been discouraged to see #MikeandMolly because so many parallels really -,fear,0: no fear can be inferred,0, YES ! Right ? I mean I wish you hadn't been discouraged to see MikeandMolly because so many parallels really -, yes ! right ? i mean i wish you hadn't been discouraged to see mikeandmolly because so many parallels really -
2017-En-21966,I'm so confused by the new American horror story 😩,fear,0: no fear can be inferred,0,I'm so confused by the new American horror story weary_face,i'm so confused by the new american horror story weary_face
2017-En-22178,"@samsteinhp stop the presses, @realDonaldTrump said/proposed something racist. #shocking",fear,0: no fear can be inferred,0,"stop the presses, said/proposed something racist. shocking","stop the presses, said/proposed something racist. shocking"
2017-En-20628,@JonnyDunn93 and Gerrard was awful then,fear,0: no fear can be inferred,0,and Gerrard was awful then,and gerrard was awful then
2017-En-20501,Focusing primarily on the person you’re talking to rather than yourself and the impression you’re making lessens social anxiety.,fear,0: no fear can be inferred,0,Focusing primarily on the person you’re talking to rather than yourself and the impression you’re making lessens social anxiety.,focusing primarily on the person you’re talking to rather than yourself and the impression you’re making lessens social anxiety.
2017-En-21048,Don't be so shy #nl,fear,0: no fear can be inferred,0,Don't be so shy nl,don't be so shy nl
2017-En-21575,"@Gen_Ironicus Musicians have a superstitious dread of crossing highway 69, true story",fear,0: no fear can be inferred,0,"Musicians have a superstitious dread of crossing highway 69, true story","musicians have a superstitious dread of crossing highway 69, true story"
2017-En-20184,Someone wake me when @Therealkiss make 2016 remix of 'Why'❗️b/w #TerrenceCrutcher #Election2016 #colinkapernick #terrorism #riots this 2much,fear,2: moderate amount of fear can be inferred,2,Someone wake me when make 2016 remix of 'Why'exclamation_markb/w TerrenceCrutcher Election2016 colinkapernick terrorism riots this 2much,someone wake me when make 2016 remix of 'why'exclamation_markb/w terrencecrutcher election2016 colinkapernick terrorism riots this 2much
2017-En-21444,Patriot rookie QB Jacoby Brissett  to start vs Houston tomorrow nite.\n\n'Been a learning process since I got here.Gotta be ready to go.',fear,0: no fear can be inferred,0,Patriot rookie QB Jacoby Brissett to start vs Houston tomorrow nite.\n\n'Been a learning process since I got here.Gotta be ready to go.',patriot rookie qb jacoby brissett to start vs houston tomorrow nite.\n\n'been a learning process since i got here.gotta be ready to go.'
2017-En-20803,"The radio just told me Lady GaGa is going country, which is like if the Beatles decided to do opera singing for their final albums #awful",fear,0: no fear can be inferred,0,"The radio just told me Lady GaGa is going country, which is like if the Beatles decided to do opera singing for their final albums awful","the radio just told me lady gaga is going country, which is like if the beatles decided to do opera singing for their final albums awful"
2017-En-21814,Marcus Roho is dreadful,fear,0: no fear can be inferred,0,Marcus Roho is dreadful,marcus roho is dreadful
2017-En-21270,@F1abraham holy shit...what the hell happened to your lips!! Fix that shit! #mtv #teenmom #horrible,fear,0: no fear can be inferred,0,holy shit...what the hell happened to your lips!! Fix that shit! mtv teenmom horrible,holy shit...what the hell happened to your lips!! fix that shit! mtv teenmom horrible
2017-En-20484,@siomo @NEWSTALK1010 20 says he gets reelected.....  #be #afraid,fear,0: no fear can be inferred,0,20 says he gets reelected..... be afraid,20 says he gets reelected..... be afraid
2017-En-20849,".@Tolumanda love it! so true. As @Deedeey_ taught me, fear can be an illusion. #coaching #fear #courage",fear,0: no fear can be inferred,0,". love it! so true. As taught me, fear can be an illusion. coaching fear courage",". love it! so true. as taught me, fear can be an illusion. coaching fear courage"
2017-En-21911,@BouchetPetersen @libe @dom_albertini @DavidDoucet Imposuture intellectuelle ! #préjugés #intolérance #personnalitéAutoritaire ,fear,0: no fear can be inferred,0,Imposuture intellectuelle ! préjugés intolérance personnalitéAutoritaire,imposuture intellectuelle ! préjugés intolérance personnalitéautoritaire
2017-En-20532,@Zak_Atif two congressional hearings in USA stopped financial aid to Pak and asked it to prove that it is doing enough to stop terrorism 1n,fear,0: no fear can be inferred,0,two congressional hearings in USA stopped financial aid to Pak and asked it to prove that it is doing enough to stop terrorism 1n,two congressional hearings in usa stopped financial aid to pak and asked it to prove that it is doing enough to stop terrorism 1n
2017-En-20858,@alicemazzy he was more partisan on social issues a few years back; now he just concern trolls the center left as Chait does the far left,fear,0: no fear can be inferred,0,he was more partisan on social issues a few years back; now he just concern trolls the center left as Chait does the far left,he was more partisan on social issues a few years back; now he just concern trolls the center left as chait does the far left
2017-En-21446,The 2008 crisis was just the tremor In advance of the earthquake',fear,1: low amount of fear can be inferred,1,The 2008 crisis was just the tremor In advance of the earthquake',the 2008 crisis was just the tremor in advance of the earthquake'
2017-En-22165,@rockandpop pomte A Muse com panic Station Exitaso,fear,0: no fear can be inferred,0,pomte A Muse com panic Station Exitaso,pomte a muse com panic station exitaso
2017-En-21490,something incredibly terrible about my life is i'm 23 years old and still suffering through group projects..........,fear,2: moderate amount of fear can be inferred,2,something incredibly terrible about my life is i'm 23 years old and still suffering through group projects..........,something incredibly terrible about my life is i'm 23 years old and still suffering through group projects..........
2017-En-20617,Recording some more #FNAF and had to FaceTime my mum to let her know I was okay after I let out a high pitched scream 😂  #suchagirl,fear,0: no fear can be inferred,0,Recording some more FNAF and had to FaceTime my mum to let her know I was okay after I let out a high pitched scream face_with_tears_of_joy suchagirl,recording some more fnaf and had to facetime my mum to let her know i was okay after i let out a high pitched scream face_with_tears_of_joy suchagirl
2017-En-22192,Don't think I'll ever get used to this 6:30 alarm 😩💤,fear,0: no fear can be inferred,0,Don't think I'll ever get used to this 630 alarm weary_facezzz,don't think i'll ever get used to this 630 alarm weary_facezzz
2017-En-21474,Am I the only one with parking sensors who still manages to reverse into things? ,fear,0: no fear can be inferred,0,Am I the only one with parking sensors who still manages to reverse into things?,am i the only one with parking sensors who still manages to reverse into things?
2017-En-21077,Enjoyed seamlessly setting my #alarm using #okgoogle #Nougat. Just tell #Okgoogle what to do and she does it. #PersonalAssistant,fear,0: no fear can be inferred,0,Enjoyed seamlessly setting my alarm using okgoogle Nougat. Just tell Okgoogle what to do and she does it. PersonalAssistant,enjoyed seamlessly setting my alarm using okgoogle nougat. just tell okgoogle what to do and she does it. personalassistant
2017-En-20876,Overtime... #TeamNA #WCH2016 ,fear,0: no fear can be inferred,0,Overtime... TeamNA WCH2016,overtime... teamna wch2016
2017-En-21953,♪OLD FISH ,fear,0: no fear can be inferred,0,♪OLD FISH,♪old fish
2017-En-21758,MSM stoking #fear. Please remember the beautiful prayerful protests in Dallas and Atlanta. Smile at a stranger. We make each other strong.,fear,0: no fear can be inferred,0,MSM stoking fear. Please remember the beautiful prayerful protests in Dallas and Atlanta. Smile at a stranger. We make each other strong.,msm stoking fear. please remember the beautiful prayerful protests in dallas and atlanta. smile at a stranger. we make each other strong.
2017-En-20350,"However the agent was inauthentic, my sister still loves me, &amp; I'm still alive. So I guess it wasn't that bad. #socialanxiety ",fear,1: low amount of fear can be inferred,1,"However the agent was inauthentic, my sister still loves me, &amp; I'm still alive. So I guess it wasn't that bad. socialanxiety","however the agent was inauthentic, my sister still loves me, &amp; i'm still alive. so i guess it wasn't that bad. socialanxiety"
2017-En-20748,@Gotham3 ~ Crushes are for kids! Just like trix. \rHow bout some full blown up Love that makes you quiver deep down into your core? Y E S *=*,fear,0: no fear can be inferred,0,~ Crushes are for kids! Just like trix. \rHow bout some full blown up Love that makes you quiver deep down into your core? Y E S *=*,~ crushes are for kids! just like trix. \rhow bout some full blown up love that makes you quiver deep down into your core? y e s *=*
2017-En-20008,My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... #terrible,fear,3: high amount of fear can be inferred,3,My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... terrible,my bus was in a car crash... i'm still shaking a bit... this week was an absolute horror and this was the icing on the cake... terrible
2017-En-21208,Rooney shocking attempted cross,fear,0: no fear can be inferred,0,Rooney shocking attempted cross,rooney shocking attempted cross
2017-En-22033,Just over a week until I start my new job in F1! Looking forward to it and cacking myself at the same time! ,fear,0: no fear can be inferred,0,Just over a week until I start my new job in F1! Looking forward to it and cacking myself at the same time!,just over a week until i start my new job in f1! looking forward to it and cacking myself at the same time!
2017-En-21554,even walking around with my family members who carry guns makes me nervous and theyre my family....,fear,2: moderate amount of fear can be inferred,2,even walking around with my family members who carry guns makes me nervous and theyre my family....,even walking around with my family members who carry guns makes me nervous and theyre my family....
2017-En-20821,Today has dragged on ,fear,0: no fear can be inferred,0,Today has dragged on,today has dragged on
2017-En-21360,@KimPiggie @kristasaidthis oh every people can make tipo. It is terrible bullying them about that. It's trvial and very sad.😔,fear,1: low amount of fear can be inferred,1,oh every people can make tipo. It is terrible bullying them about that. It's trvial and very sad.pensive_face,oh every people can make tipo. it is terrible bullying them about that. it's trvial and very sad.pensive_face
2017-En-21206,Dunno y am going to the Yorkshire scare grounds when I only lasted a minute in the Alton towers one before running out a fire exit crying,fear,3: high amount of fear can be inferred,3,Dunno y am going to the Yorkshire scare grounds when I only lasted a minute in the Alton towers one before running out a fire exit crying,dunno y am going to the yorkshire scare grounds when i only lasted a minute in the alton towers one before running out a fire exit crying
2017-En-21252,Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation ,fear,0: no fear can be inferred,0,Staff on FR1005. Asked for info and told to look online. You get what you pay for. Ryanair Compensation,staff on fr1005. asked for info and told to look online. you get what you pay for. ryanair compensation
2017-En-20126,Grim and despair feeling-I look at self and my family. Hubby fought 20+ years for this country. I've worked 20+ years for this govt--&gt;,fear,2: moderate amount of fear can be inferred,2,Grim and despair feeling-I look at self and my family. Hubby fought 20+ years for this country. I've worked 20+ years for this govt--&gt;,grim and despair feeling-i look at self and my family. hubby fought 20+ years for this country. i've worked 20+ years for this govt--&gt;
2017-En-21365,@comcast you charge 150 extra for sending someone out and your cable service still doesn't work. That's robbery. #cable  #service,fear,0: no fear can be inferred,0,you charge 150 extra for sending someone out and your cable service still doesn't work. That's robbery. cable service,you charge 150 extra for sending someone out and your cable service still doesn't work. that's robbery. cable service
2017-En-20092,"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",fear,3: high amount of fear can be inferred,3,"In wake of fresh terror threat and sounding of alert in Mumbai, praying for safety &amp; security of everybody in the city Maharashtra news","in wake of fresh terror threat and sounding of alert in mumbai, praying for safety &amp; security of everybody in the city maharashtra news"
2017-En-22064,@TheSidEudy PS: I still think your broken leg against Scott Steiner was one of the most horrific injuries I've ever seen in the ring #ccot,fear,0: no fear can be inferred,0,PS I still think your broken leg against Scott Steiner was one of the most horrific injuries I've ever seen in the ring ccot,ps i still think your broken leg against scott steiner was one of the most horrific injuries i've ever seen in the ring ccot
2017-En-21904,@Owlman2011 @charitypricey @jon_newsome @PRAWNSANDOWl @smith_alister @MikeConnelly9 average 22000 for the massif... #shocking,fear,0: no fear can be inferred,0,average 22000 for the massif... shocking,average 22000 for the massif... shocking
2017-En-20193,I had a panic attack when I couldn't find @katrinalaw on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul ,fear,2: moderate amount of fear can be inferred,2,I had a panic attack when I couldn't find on Twitter Turns out my Twitter is a jerk. I can still see her. NyssaAlghul,i had a panic attack when i couldn't find on twitter turns out my twitter is a jerk. i can still see her. nyssaalghul
2017-En-22186,@christyfrink @stephenyeargin @El_Brandino I once hooked them up backward. Not recommended. #smoke #panic,fear,2: moderate amount of fear can be inferred,2,I once hooked them up backward. Not recommended. smoke panic,i once hooked them up backward. not recommended. smoke panic
2017-En-20761,"@Policy_Exchange A plus point, she won't have to queue for the loos. Any more plus points? Nope, can't think of any #shocking #sexism",fear,0: no fear can be inferred,0,"A plus point, she won't have to queue for the loos. Any more plus points? Nope, can't think of any shocking sexism","a plus point, she won't have to queue for the loos. any more plus points? nope, can't think of any shocking sexism"
2017-En-22111,If you #invest in my new #film I will stop asking you to invest in my new film. #concessions #crime  #shortsightedness #celebrities,fear,0: no fear can be inferred,0,If you invest in my new film I will stop asking you to invest in my new film. concessions crime shortsightedness celebrities,if you invest in my new film i will stop asking you to invest in my new film. concessions crime shortsightedness celebrities
2017-En-20216,I can't imagine keeping malice with my brothers!! I shudder when I see siblings estranged and all,fear,1: low amount of fear can be inferred,1,I can't imagine keeping malice with my brothers!! I shudder when I see siblings estranged and all,i can't imagine keeping malice with my brothers!! i shudder when i see siblings estranged and all
2017-En-21022,Step over #fear and rely on #faith!,fear,0: no fear can be inferred,0,Step over fear and rely on faith!,step over fear and rely on faith!
2017-En-20974,@1NatalieMaines Can you imagine being the person who has to spray tan him? ,fear,0: no fear can be inferred,0,Can you imagine being the person who has to spray tan him?,can you imagine being the person who has to spray tan him?
2017-En-20832,#picoftheday : How...why... Really... !!\n    #funny #picoftheday #lol #random #laugh #chair #of #despair #funnypics  #virgin #cafe #i...,fear,0: no fear can be inferred,0,picoftheday  How...why... Really... !!\n funny picoftheday lol random laugh chair of despair funnypics virgin cafe i...,picoftheday  how...why... really... !!\n funny picoftheday lol random laugh chair of despair funnypics virgin cafe i...
2017-En-20509,i've been rooting for him since the beginning #anxiety #BB18,fear,0: no fear can be inferred,0,i've been rooting for him since the beginning anxiety BB18,i've been rooting for him since the beginning anxiety bb18
2017-En-21770,@TweetinderKaul @rupasubramanya @chandanwriter @TheQuint @ShivAroor future convicts rush in where TRP hogs fear to tread #HomilyHour,fear,0: no fear can be inferred,0,future convicts rush in where TRP hogs fear to tread HomilyHour,future convicts rush in where trp hogs fear to tread homilyhour
2017-En-20758,"@Meruna_  as a musician, I can tell you that more people get discouraged when learning because of shitty instruments than anything else.",fear,0: no fear can be inferred,0,"as a musician, I can tell you that more people get discouraged when learning because of shitty instruments than anything else.","as a musician, i can tell you that more people get discouraged when learning because of shitty instruments than anything else."
2017-En-21190,Watching It Follows.  This is a super freaky movie.  #scary,fear,2: moderate amount of fear can be inferred,2,Watching It Follows. This is a super freaky movie. scary,watching it follows. this is a super freaky movie. scary
2017-En-21887,"@HillaryClinton Americans for HRC! Now maybe, as you see the world getting rid of terror to save their countries you'll get the  DEMS out.",fear,1: low amount of fear can be inferred,1,"Americans for HRC! Now maybe, as you see the world getting rid of terror to save their countries you'll get the DEMS out.","americans for hrc! now maybe, as you see the world getting rid of terror to save their countries you'll get the dems out."
2017-En-20060,"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain, #anxiety #iamkratom",fear,3: high amount of fear can be inferred,3,"If this ban goes through, it will harm so many people, disabled veterans, people who have chronicpain, anxiety iamkratom","if this ban goes through, it will harm so many people, disabled veterans, people who have chronicpain, anxiety iamkratom"
2017-En-21328,I shower to lay in bed for about an hour then dread wearing pants for the remainder of the day,fear,0: no fear can be inferred,0,I shower to lay in bed for about an hour then dread wearing pants for the remainder of the day,i shower to lay in bed for about an hour then dread wearing pants for the remainder of the day
2017-En-21549,@BowkerMorgan awe thanks morgs!!! love u lots girly ❤️😊❤️,fear,0: no fear can be inferred,0,awe thanks morgs!!! love u lots girly red_heartsmiling_face_with_smiling_eyesred_heart,awe thanks morgs!!! love u lots girly red_heartsmiling_face_with_smiling_eyesred_heart
2017-En-21996,@AskLloydsBank #worst exec complaints ever #horrific customer journey,fear,0: no fear can be inferred,0,worst exec complaints ever horrific customer journey,worst exec complaints ever horrific customer journey
2017-En-21336,Fuck me....what the fuuuuuuuck did I just watch?!?! #STAGESCHOOL is awful.....no that flatters it!! #shocking 😮👎,fear,1: low amount of fear can be inferred,1,Fuck me....what the fuuuuuuuck did I just watch?!?! STAGESCHOOL is awful.....no that flatters it!! shocking face_with_open_mouththumbs_down,fuck me....what the fuuuuuuuck did i just watch?!?! stageschool is awful.....no that flatters it!! shocking face_with_open_mouththumbs_down
2017-En-20323,“The #greatest fear #dogs know is the #fear that you will not come back when you go out the #door #without them.”   \n  ―#Stanley #Coren,fear,1: low amount of fear can be inferred,1,“The greatest fear dogs know is the fear that you will not come back when you go out the door without them.” \n ―Stanley Coren,“the greatest fear dogs know is the fear that you will not come back when you go out the door without them.” \n ―stanley coren
2017-En-21310,@AdoreDelano ill be there... with VIP TICKETS! Can't wait to meet you. Never met a famous person i admire before! #nervous,fear,0: no fear can be inferred,0,ill be there... with VIP TICKETS! Can't wait to meet you. Never met a famous person i admire before! nervous,ill be there... with vip tickets! can't wait to meet you. never met a famous person i admire before! nervous
2017-En-21426,I seriously miss #ahsaftershow with @trixiemattel and @TheRealEdHansen. I need to talk about the mamasitas and the hunks of horror.,fear,0: no fear can be inferred,0,I seriously miss ahsaftershow with and . I need to talk about the mamasitas and the hunks of horror.,i seriously miss ahsaftershow with and . i need to talk about the mamasitas and the hunks of horror.
2017-En-21196,@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! #bully,fear,0: no fear can be inferred,0,I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! bully,i can't wait to hear what he had to say about the brilliant dr. hawking... it should be rich... in the poorest of taste! bully
2017-En-22025,@ManUtd carrick and Herrera proved their worth last night. What more does Rooney need to do to get dropped #awful. Rashford needs to start,fear,0: no fear can be inferred,0,carrick and Herrera proved their worth last night. What more does Rooney need to do to get dropped awful. Rashford needs to start,carrick and herrera proved their worth last night. what more does rooney need to do to get dropped awful. rashford needs to start
2017-En-20692,"@GucciShade @KellyannePolls @ABC So?  Who cares?  Who cares about tax forms, too.  I believe terrorism and jobs are what is important.",fear,0: no fear can be inferred,0,"So? Who cares? Who cares about tax forms, too. I believe terrorism and jobs are what is important.","so? who cares? who cares about tax forms, too. i believe terrorism and jobs are what is important."
2017-En-20873,yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains: were the writers HIM's fans?,fear,0: no fear can be inferred,0,yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains were the writers HIM's fans?,yesterday i finished watching penny dreadful and from all the beautiful things i saw one question remains were the writers him's fans?
2017-En-20347,The fact that we have a presidential candidate that speaks the way Trump does is alarming. I thought higher of my peers. #FDT16,fear,1: low amount of fear can be inferred,1,The fact that we have a presidential candidate that speaks the way Trump does is alarming. I thought higher of my peers. FDT16,the fact that we have a presidential candidate that speaks the way trump does is alarming. i thought higher of my peers. fdt16
2017-En-21631,@FoxNews also we are having riots and protests at alarming rate every time there's a person of color that is shot.,fear,1: low amount of fear can be inferred,1,also we are having riots and protests at alarming rate every time there's a person of color that is shot.,also we are having riots and protests at alarming rate every time there's a person of color that is shot.
2017-En-20499,Thought I left that part of life behind me\nIt's back to haunt every girl that loves me,fear,0: no fear can be inferred,0,Thought I left that part of life behind me\nIt's back to haunt every girl that loves me,thought i left that part of life behind me\nit's back to haunt every girl that loves me
2017-En-21447,"@bt_uk appointment booked between 1-6 today, waited in all day and nobody showed up, also requested a call back and never got one ",fear,0: no fear can be inferred,0,"appointment booked between 1-6 today, waited in all day and nobody showed up, also requested a call back and never got one","appointment booked between 1-6 today, waited in all day and nobody showed up, also requested a call back and never got one"
2017-En-21060,Huns are like a box of coffee revels ,fear,0: no fear can be inferred,0,Huns are like a box of coffee revels,huns are like a box of coffee revels
2017-En-21682,@alyssaxbeauty nightmare before Christmas,fear,0: no fear can be inferred,0,nightmare before Christmas,nightmare before christmas
2017-En-20104,Maybe @SamHeughan can send me good luck on my job interview tomorrow. #nervous 😳,fear,2: moderate amount of fear can be inferred,2,Maybe can send me good luck on my job interview tomorrow. nervous flushed_face,maybe can send me good luck on my job interview tomorrow. nervous flushed_face
2017-En-21445,@MaxiNutrition order 321073 parcel 15502922895987. #awful #customercare by @DPD_UK tried to view calling card online. black image #noshow,fear,0: no fear can be inferred,0,order 321073 parcel 15502922895987. awful customercare by tried to view calling card online. black image noshow,order 321073 parcel 15502922895987. awful customercare by tried to view calling card online. black image noshow
2017-En-21280,@littlepieces Customer services got involved and eventually completely wash their hands of it. #awful #dreamornightmare,fear,1: low amount of fear can be inferred,1,Customer services got involved and eventually completely wash their hands of it. awful dreamornightmare,customer services got involved and eventually completely wash their hands of it. awful dreamornightmare
2017-En-21308,@DaddyION you and that awful music can take a walk... right off a cliff. K. 😘,fear,0: no fear can be inferred,0,you and that awful music can take a walk... right off a cliff. K. face_blowing_a_kiss,you and that awful music can take a walk... right off a cliff. k. face_blowing_a_kiss
2017-En-21191,"They'll be yo friend, shake your hand, then kick in yo door thas the way the game go🤖🤐.",fear,0: no fear can be inferred,0,"They'll be yo friend, shake your hand, then kick in yo door thas the way the game gorobot_facezipper-mouth_face.","they'll be yo friend, shake your hand, then kick in yo door thas the way the game gorobot_facezipper-mouth_face."
2017-En-20729,@Lillie_Billy don't worry me and my mans @JJB1Owens gave him a piece of our mind,fear,0: no fear can be inferred,0,don't worry me and my mans gave him a piece of our mind,don't worry me and my mans gave him a piece of our mind
2017-En-20311,"me, myself, and I \n #horror movie alone again tonight maybe a #zombie would eat me and finish my life game already - i want #gameover",fear,1: low amount of fear can be inferred,1,"me, myself, and I \n horror movie alone again tonight maybe a zombie would eat me and finish my life game already - i want gameover","me, myself, and i \n horror movie alone again tonight maybe a zombie would eat me and finish my life game already - i want gameover"
2017-En-21076,Ellie from @myspanishboots is here to answer your questions! Don't be shy - she loves talking about #equestrian fashion ;-) #equestrianhour,fear,0: no fear can be inferred,0,Ellie from is here to answer your questions! Don't be shy - she loves talking about equestrian fashion ;-) equestrianhour,ellie from is here to answer your questions! don't be shy - she loves talking about equestrian fashion ;-) equestrianhour
2017-En-21694,Bring on my interview at hospital tho 🙈🙈 ,fear,0: no fear can be inferred,0,Bring on my interview at hospital tho see-no-evil_monkeysee-no-evil_monkey,bring on my interview at hospital tho see-no-evil_monkeysee-no-evil_monkey
