ID,Tweet,Affect Dimension,Intensity Class,Intensity,Clean_Tweet_Cased,Clean_Tweet
2017-En-30426,Relive Vegas' heyday with Rat Pack tribute,joy,1: low amount of joy can be inferred,1,Relive Vegas' heyday with Rat Pack tribute,relive vegas' heyday with rat pack tribute
2017-En-30743,Gas prices are hilarious. Cause they're simultaneously super subsidised and taxed,joy,0: no joy can be inferred,0,Gas prices are hilarious. Cause they're simultaneously super subsidised and taxed,gas prices are hilarious. cause they're simultaneously super subsidised and taxed
2017-En-31297,And 9/10 the character is a woman. Because if a man is fat he's jovial. If a woman is fat she's useless and maybe evil amirite?,joy,0: no joy can be inferred,0,And 9/10 the character is a woman. Because if a man is fat he's jovial. If a woman is fat she's useless and maybe evil amirite?,and 9/10 the character is a woman. because if a man is fat he's jovial. if a woman is fat she's useless and maybe evil amirite?
2017-En-30007,"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love  #TeamMark",joy,3: high amount of joy can be inferred,3,"BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! love TeamMark","bridgetjonesbaby is the best thing i've seen in ages! so funny, i've missed bridget! love teammark"
2017-En-30188,The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,joy,2: moderate amount of joy can be inferred,2,The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team superman,the current run of superman continues to be a delight! you can feel the love poured into it by everone on the creative team superman
2017-En-30293,Do what makes you successful and #happy now and forever,joy,2: moderate amount of joy can be inferred,2,Do what makes you successful and happy now and forever,do what makes you successful and happy now and forever
2017-En-30757,noah fence but i want a harley quinn or blake lively layout,joy,0: no joy can be inferred,0,noah fence but i want a harley quinn or blake lively layout,noah fence but i want a harley quinn or blake lively layout
2017-En-31126,The jovial laughter that Trump and his lackeys showed when Don King used the N word was a truly bizarre sight,joy,0: no joy can be inferred,0,The jovial laughter that Trump and his lackeys showed when Don King used the N word was a truly bizarre sight,the jovial laughter that trump and his lackeys showed when don king used the n word was a truly bizarre sight
2017-En-31384,"@ToyStoriesInt They look FAB, they were made for the big screen!Can't wait to see this evolve &amp; the bright future of these little toy people",joy,2: moderate amount of joy can be inferred,2,"They look FAB, they were made for the big screen!Can't wait to see this evolve &amp; the bright future of these little toy people","they look fab, they were made for the big screen!can't wait to see this evolve &amp; the bright future of these little toy people"
2017-En-30896,It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy,joy,3: high amount of joy can be inferred,3,It feels good to get outside for a minute and get some fresh air. It's hard to stay cooped up inside all day breezy,it feels good to get outside for a minute and get some fresh air. it's hard to stay cooped up inside all day breezy
2017-En-30996,"During the day @JeffProbst is jovial. At #TribalCouncil he's a different,  darker fellow.  Still simply but smiles are few. #Survivor",joy,0: no joy can be inferred,0,"During the day is jovial. At TribalCouncil he's a different, darker fellow. Still simply but smiles are few. Survivor","during the day is jovial. at tribalcouncil he's a different, darker fellow. still simply but smiles are few. survivor"
2017-En-30490,The neighbor dancing in the Clayton Homes commercial is me. ,joy,1: low amount of joy can be inferred,1,The neighbor dancing in the Clayton Homes commercial is me.,the neighbor dancing in the clayton homes commercial is me.
2017-En-30834,"Be it a rainy day, be it cheerful sunshine, I am a Prussian, want nothing to be but a Prussian.:|",joy,0: no joy can be inferred,0,"Be it a rainy day, be it cheerful sunshine, I am a Prussian, want nothing to be but a Prussian.|","be it a rainy day, be it cheerful sunshine, i am a prussian, want nothing to be but a prussian.|"
2017-En-30151,#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy ,joy,3: high amount of joy can be inferred,3,ContentwiththeLordsPortionO satisfy us early with thy mercy;that we may rejoice &amp; be glad all our days.Ps 9014 gladness joy,contentwiththelordsportiono satisfy us early with thy mercy;that we may rejoice &amp; be glad all our days.ps 9014 gladness joy
2017-En-30380,When you're prof suggest @Pharrell and William James may be unlikely dialogue partners and then plays the #happy video #WeAreCST,joy,1: low amount of joy can be inferred,1,When you're prof suggest and William James may be unlikely dialogue partners and then plays the happy video WeAreCST,when you're prof suggest and william james may be unlikely dialogue partners and then plays the happy video wearecst
2017-En-30316,Watch this amazing live.ly broadcast by @kana_blender  #musically,joy,2: moderate amount of joy can be inferred,2,Watch this amazing live.ly broadcast by musically,watch this amazing live.ly broadcast by musically
2017-En-31506,"@nadyaginsburg Thank-you for unfailingly bringing so much joy into my life, you incredibly talented maker of mirth.",joy,3: high amount of joy can be inferred,3,"Thank-you for unfailingly bringing so much joy into my life, you incredibly talented maker of mirth.","thank-you for unfailingly bringing so much joy into my life, you incredibly talented maker of mirth."
2017-En-30889,How can l rule my mind !!!!!! \nIt's hilarious that you can't 😭😑😮,joy,0: no joy can be inferred,0,How can l rule my mind !!!!!! \nIt's hilarious that you can't loudly_crying_faceexpressionless_faceface_with_open_mouth,how can l rule my mind !!!!!! \nit's hilarious that you can't loudly_crying_faceexpressionless_faceface_with_open_mouth
2017-En-30112,LOVE LOVE LOVE #smile #fun #relaxationiskey,joy,3: high amount of joy can be inferred,3,LOVE LOVE LOVE smile fun relaxationiskey,love love love smile fun relaxationiskey
2017-En-30428,i fix a clever ritual to make you feel frolicsome,joy,1: low amount of joy can be inferred,1,i fix a clever ritual to make you feel frolicsome,i fix a clever ritual to make you feel frolicsome
2017-En-31031,@MarkDice Agreed.So tired of this nonsense . Soros must be elated.,joy,0: no joy can be inferred,0,Agreed.So tired of this nonsense . Soros must be elated.,agreed.so tired of this nonsense . soros must be elated.
2017-En-30396,Omg. You've got to watch the new series 'This is Us'.....wow. Best tv show I've seen in a long time.\n #tears  #moretears,joy,1: low amount of joy can be inferred,1,Omg. You've got to watch the new series 'This is Us'.....wow. Best tv show I've seen in a long time.\n tears moretears,omg. you've got to watch the new series 'this is us'.....wow. best tv show i've seen in a long time.\n tears moretears
2017-En-30031,@ADenkyirah Happy birthday! Hope you have a wonderful day filled with lots of joy and laughter &lt;3 (despite tumblr being a jerk- once again),joy,3: high amount of joy can be inferred,3,Happy birthday! Hope you have a wonderful day filled with lots of joy and laughter &lt;3 (despite tumblr being a jerk- once again),happy birthday! hope you have a wonderful day filled with lots of joy and laughter &lt;3 (despite tumblr being a jerk- once again)
2017-En-30430,Watch this amazing live.ly broadcast by @broitzmax  #musically,joy,1: low amount of joy can be inferred,1,Watch this amazing live.ly broadcast by musically,watch this amazing live.ly broadcast by musically
2017-En-31314,@MillieetylerX I thought everyday was a glee day??,joy,0: no joy can be inferred,0,I thought everyday was a glee day??,i thought everyday was a glee day??
2017-En-31519,Come to the @BullSkitComedy FUNdraiser this Fri. at 8pm @TheScottBlock. Because #pie + #face = !,joy,1: low amount of joy can be inferred,1,Come to the FUNdraiser this Fri. at 8pm . Because pie + face = !,come to the fundraiser this fri. at 8pm . because pie + face = !
2017-En-30643,@FOXTV did you use the warblers set from glee on the @BONESonFOX episode about the acapella college kids?,joy,0: no joy can be inferred,0,did you use the warblers set from glee on the episode about the acapella college kids?,did you use the warblers set from glee on the episode about the acapella college kids?
2017-En-30460,Watch this amazing live.ly broadcast by @rosannahill  #musically,joy,1: low amount of joy can be inferred,1,Watch this amazing live.ly broadcast by musically,watch this amazing live.ly broadcast by musically
2017-En-31476,Accept the challenges so that you can feel the exhilaration of victory. George S. Patton\n#quote #motivation #entrepreneur,joy,0: no joy can be inferred,0,Accept the challenges so that you can feel the exhilaration of victory. George S. Patton\nquote motivation entrepreneur,accept the challenges so that you can feel the exhilaration of victory. george s. patton\nquote motivation entrepreneur
2017-En-30146,"We are elated to have @lisavol, Sid Espinosa and @dyuliharris, ready to inspire innovative students!!  @knightfdn @MicrosoftSV @JessicaWeare",joy,3: high amount of joy can be inferred,3,"We are elated to have , Sid Espinosa and , ready to inspire innovative students!!","we are elated to have , sid espinosa and , ready to inspire innovative students!!"
2017-En-30368,@sportinglifecan I keep a down vest or sweater in my pack year round! Helps on chilly mornings or breezy mountain tops! #mysportinglife,joy,1: low amount of joy can be inferred,1,I keep a down vest or sweater in my pack year round! Helps on chilly mornings or breezy mountain tops! mysportinglife,i keep a down vest or sweater in my pack year round! helps on chilly mornings or breezy mountain tops! mysportinglife
2017-En-30840,4-2 Canada final tomorrow #WCH #Predictions #optimism #Canadian 🇨🇦,joy,1: low amount of joy can be inferred,1,4-2 Canada final tomorrow WCH Predictions optimism Canadian Canada,4-2 canada final tomorrow wch predictions optimism canadian canada
2017-En-31487,"You got some dick recently right, you're happy, you're not sick and you're smiling. Life is good' 😭😭😭",joy,1: low amount of joy can be inferred,1,"You got some dick recently right, you're happy, you're not sick and you're smiling. Life is good' loudly_crying_faceloudly_crying_faceloudly_crying_face","you got some dick recently right, you're happy, you're not sick and you're smiling. life is good' loudly_crying_faceloudly_crying_faceloudly_crying_face"
2017-En-31495,"After soul searching, I'd like to announce that I've chosen @chrissyteigen &amp; @nicolerichie to be my adopted sisters due to their hilarity",joy,2: moderate amount of joy can be inferred,2,"After soul searching, I'd like to announce that I've chosen &amp; to be my adopted sisters due to their hilarity","after soul searching, i'd like to announce that i've chosen &amp; to be my adopted sisters due to their hilarity"
2017-En-31036,Could not be happier!! #happy,joy,3: high amount of joy can be inferred,3,Could not be happier!! happy,could not be happier!! happy
2017-En-31069,3 Styles to Love now at Zales!  Three sparkling styles to love! Stop by and shop in store today.,joy,1: low amount of joy can be inferred,1,3 Styles to Love now at Zales! Three sparkling styles to love! Stop by and shop in store today.,3 styles to love now at zales! three sparkling styles to love! stop by and shop in store today.
2017-En-30412,@jessbr0ughton don't be shy next time! We're a cheery bunch. :) \n\nSam. X,joy,1: low amount of joy can be inferred,1,don't be shy next time! We're a cheery bunch. ) \n\nSam. X,don't be shy next time! we're a cheery bunch. ) \n\nsam. x
2017-En-31452,Inglorious distinguished try auction so the joviality touching back side auction otherwise advance for order about: vAwyZAD,joy,1: low amount of joy can be inferred,1,Inglorious distinguished try auction so the joviality touching back side auction otherwise advance for order about vAwyZAD,inglorious distinguished try auction so the joviality touching back side auction otherwise advance for order about vawyzad
2017-En-30414,"@Chr1sMcLaughlin he's brilliant, lost the joyous plot with us that year. Admits being a fan now after that.",joy,1: low amount of joy can be inferred,1,"he's brilliant, lost the joyous plot with us that year. Admits being a fan now after that.","he's brilliant, lost the joyous plot with us that year. admits being a fan now after that."
2017-En-31608,To tell the truth and make someone cry is better than to tell a lie and make someone smile. #truth #lie #cry  #offalonehugots,joy,0: no joy can be inferred,0,To tell the truth and make someone cry is better than to tell a lie and make someone smile. truth lie cry offalonehugots,to tell the truth and make someone cry is better than to tell a lie and make someone smile. truth lie cry offalonehugots
2017-En-30455,"@AphoticSanguine —but be a little playful. \n\nHe hesitantly pulls away, just enough so he could get words out, lips brushing against—",joy,1: low amount of joy can be inferred,1,"—but be a little playful. \n\nHe hesitantly pulls away, just enough so he could get words out, lips brushing against—","—but be a little playful. \n\nhe hesitantly pulls away, just enough so he could get words out, lips brushing against—"
2017-En-30513,Decide to stop being afraid. To just stop. What are you now free to do?\n\n#brave #free #honest #healthy #happy #life #living #optimism #love,joy,1: low amount of joy can be inferred,1,Decide to stop being afraid. To just stop. What are you now free to do?\n\nbrave free honest healthy happy life living optimism love,decide to stop being afraid. to just stop. what are you now free to do?\n\nbrave free honest healthy happy life living optimism love
2017-En-31157,How sad is it that I'm rejoicing over a 72💀 #collegekills,joy,0: no joy can be inferred,0,How sad is it that I'm rejoicing over a 72skull collegekills,how sad is it that i'm rejoicing over a 72skull collegekills
2017-En-30109,You're so cute @katienolan #truelove #hilarious @GarbageTime #beautiful &amp; #graceful never heard explicits spoken with such elegance. #Mingo,joy,3: high amount of joy can be inferred,3,You're so cute truelove hilarious beautiful &amp; graceful never heard explicits spoken with such elegance. Mingo,you're so cute truelove hilarious beautiful &amp; graceful never heard explicits spoken with such elegance. mingo
2017-En-31571,Accept the challenges so that you can feel the exhilaration of victory. \n\n#MBMcLisse,joy,1: low amount of joy can be inferred,1,Accept the challenges so that you can feel the exhilaration of victory. \n\nMBMcLisse,accept the challenges so that you can feel the exhilaration of victory. \n\nmbmclisse
2017-En-31210,"The Lord thy God in the midst of thee is mighty; he will save, he will rejoice over thee with joy; \nZephaniah 3:17 KJV",joy,2: moderate amount of joy can be inferred,2,"The Lord thy God in the midst of thee is mighty; he will save, he will rejoice over thee with joy; \nZephaniah 317 KJV","the lord thy god in the midst of thee is mighty; he will save, he will rejoice over thee with joy; \nzephaniah 317 kjv"
2017-En-31163,Class is canceled due to a funeral. Not sure if it's appropriate to be happy or sad.. #happy,joy,1: low amount of joy can be inferred,1,Class is canceled due to a funeral. Not sure if it's appropriate to be happy or sad.. happy,class is canceled due to a funeral. not sure if it's appropriate to be happy or sad.. happy
2017-En-30974,I'm honored to take on such a role in their joyous day. Hopefully I don't fuck it up,joy,1: low amount of joy can be inferred,1,I'm honored to take on such a role in their joyous day. Hopefully I don't fuck it up,i'm honored to take on such a role in their joyous day. hopefully i don't fuck it up
2017-En-31399,in love with @BarberCeleste  insta!!!... ,joy,3: high amount of joy can be inferred,3,in love with insta!!!...,in love with insta!!!...
2017-En-30702,Fee otherwise tricks: palm oil delegation mt jaunty resident: TZxCHLdAQ,joy,0: no joy can be inferred,0,Fee otherwise tricks palm oil delegation mt jaunty resident TZxCHLdAQ,fee otherwise tricks palm oil delegation mt jaunty resident tzxchldaq
2017-En-30897,It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,2: moderate amount of joy can be inferred,2,It feels good to get outside for a minute and get some fresh air. It's hard to stay cooped up inside all day,it feels good to get outside for a minute and get some fresh air. it's hard to stay cooped up inside all day
2017-En-30594,"@CohenDS Yell, 'Bye, garbage!' cheerfully after it.",joy,0: no joy can be inferred,0,"Yell, 'Bye, garbage!' cheerfully after it.","yell, 'bye, garbage!' cheerfully after it."
2017-En-31433,#ilofitt is #laughter #happiness #spiritual #mental #physical #pizza. Just kidding about the pizza. Work hard in all facets for a fitlife!,joy,3: high amount of joy can be inferred,3,ilofitt is laughter happiness spiritual mental physical pizza. Just kidding about the pizza. Work hard in all facets for a fitlife!,ilofitt is laughter happiness spiritual mental physical pizza. just kidding about the pizza. work hard in all facets for a fitlife!
2017-En-30622,I'm worried someday I'll be yelling at my kids and they'll be confused about if or not I'm being serious 😭😭😭\n\nI'm too damn playful,joy,0: no joy can be inferred,0,I'm worried someday I'll be yelling at my kids and they'll be confused about if or not I'm being serious loudly_crying_faceloudly_crying_faceloudly_crying_face\n\nI'm too damn playful,i'm worried someday i'll be yelling at my kids and they'll be confused about if or not i'm being serious loudly_crying_faceloudly_crying_faceloudly_crying_face\n\ni'm too damn playful
2017-En-30489,i'm doing laundry and watching that 70's show with a bunch of strangers. #happy #birthday #to #me,joy,1: low amount of joy can be inferred,1,i'm doing laundry and watching that 70's show with a bunch of strangers. happy birthday to me,i'm doing laundry and watching that 70's show with a bunch of strangers. happy birthday to me
2017-En-31372,"#Taurus females are beautiful, sparkling jewels glowing in the moonlight.",joy,2: moderate amount of joy can be inferred,2,"Taurus females are beautiful, sparkling jewels glowing in the moonlight.","taurus females are beautiful, sparkling jewels glowing in the moonlight."
2017-En-30062,@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness #delight #happyme,joy,3: high amount of joy can be inferred,3,as always it was indeed a wonderful experience flying with you guys today bestinbusiness delight happyme,as always it was indeed a wonderful experience flying with you guys today bestinbusiness delight happyme
2017-En-30931,@APkrawczynski   Any possibly KG is being bought out as a player so that he can buy in from Glen as a minority owner?  #optimism,joy,0: no joy can be inferred,0,Any possibly KG is being bought out as a player so that he can buy in from Glen as a minority owner? optimism,any possibly kg is being bought out as a player so that he can buy in from glen as a minority owner? optimism
2017-En-30944,God hears your voice optimism at the moment that you think that everything has failed you ✨.,joy,0: no joy can be inferred,0,God hears your voice optimism at the moment that you think that everything has failed you sparkles.,god hears your voice optimism at the moment that you think that everything has failed you sparkles.
2017-En-30081,@morgannbroom yes ❤️❤️ &amp; cheering homecoming game!,joy,3: high amount of joy can be inferred,3,yes red_heartred_heart &amp; cheering homecoming game!,yes red_heartred_heart &amp; cheering homecoming game!
2017-En-30841,I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived,joy,3: high amount of joy can be inferred,3,I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived,i turn 25 in two weeks. i am so happy. 24 was my darkest year yet. i am elated that i survived
2017-En-31099,TheNiceBot: WSJNordics You make the world a more joyful place. #TheNiceBot #MPN #DemiLovato,joy,3: high amount of joy can be inferred,3,TheNiceBot WSJNordics You make the world a more joyful place. TheNiceBot MPN DemiLovato,thenicebot wsjnordics you make the world a more joyful place. thenicebot mpn demilovato
2017-En-30347,"@yoursecretsub1 Trust me dear, if you want to make anything invisible, hang a wet paint on it, and hilarity will ensue.",joy,1: low amount of joy can be inferred,1,"Trust me dear, if you want to make anything invisible, hang a wet paint on it, and hilarity will ensue.","trust me dear, if you want to make anything invisible, hang a wet paint on it, and hilarity will ensue."
2017-En-31253,"Hi Luke hemmings\n\n💐🌸💐\n\nIf I had a flower for every time you made me smile, I'd have a garden. Please follow me? \n\n💐🌸💐\nI love you. x16,092",joy,3: high amount of joy can be inferred,3,"Hi Luke hemmings\n\nbouquetcherry_blossombouquet\n\nIf I had a flower for every time you made me smile, I'd have a garden. Please follow me? \n\nbouquetcherry_blossombouquet\nI love you. x16,092","hi luke hemmings\n\nbouquetcherry_blossombouquet\n\nif i had a flower for every time you made me smile, i'd have a garden. please follow me? \n\nbouquetcherry_blossombouquet\ni love you. x16,092"
2017-En-30082,I would like to congratulate the people of Saudi Arabia a happy and a joyous national day. May you all have a great time! #اليوم_الوطني,joy,3: high amount of joy can be inferred,3,I would like to congratulate the people of Saudi Arabia a happy and a joyous national day. May you all have a great time! اليوم_الوطني,i would like to congratulate the people of saudi arabia a happy and a joyous national day. may you all have a great time! اليوم_الوطني
2017-En-30279,Watch this amazing live.ly broadcast by @maisiev  #musically,joy,2: moderate amount of joy can be inferred,2,Watch this amazing live.ly broadcast by musically,watch this amazing live.ly broadcast by musically
2017-En-31340,@jtkola @danmericaCNN she's still younger and more spry than trump,joy,0: no joy can be inferred,0,she's still younger and more spry than trump,she's still younger and more spry than trump
2017-En-31492,@mywrldsbl I can be your wolf if you want. Hihi~ #breezy,joy,0: no joy can be inferred,0,I can be your wolf if you want. Hihi~ breezy,i can be your wolf if you want. hihi~ breezy
2017-En-30410,#ukedchat A4 Just go outside (or to the gym hall) and play! \n#education #playful #learning,joy,1: low amount of joy can be inferred,1,ukedchat A4 Just go outside (or to the gym hall) and play! \neducation playful learning,ukedchat a4 just go outside (or to the gym hall) and play! \neducation playful learning
2017-En-30975,I'm the reason I smile everyday 💯,joy,3: high amount of joy can be inferred,3,I'm the reason I smile everyday hundred_points,i'm the reason i smile everyday hundred_points
2017-En-30402,@TiburonChamber plus a hearty pour of #yachtrock by #mustacheharbor !,joy,1: low amount of joy can be inferred,1,plus a hearty pour of yachtrock by mustacheharbor !,plus a hearty pour of yachtrock by mustacheharbor !
2017-En-30668,"If I were assured of your eventual destruction I would, in the interests of the public, cheerfully accept my own.' Sherlock Holmes",joy,0: no joy can be inferred,0,"If I were assured of your eventual destruction I would, in the interests of the public, cheerfully accept my own.' Sherlock Holmes","if i were assured of your eventual destruction i would, in the interests of the public, cheerfully accept my own.' sherlock holmes"
2017-En-30905,@Elaminova sparkling water makes your life sparkly,joy,1: low amount of joy can be inferred,1,sparkling water makes your life sparkly,sparkling water makes your life sparkly
2017-En-31456,"@Babylonian I convinced my mom to watch it. Killgrave gave her literal nightmares, but watched last episode four times. ",joy,0: no joy can be inferred,0,"I convinced my mom to watch it. Killgrave gave her literal nightmares, but watched last episode four times.","i convinced my mom to watch it. killgrave gave her literal nightmares, but watched last episode four times."
2017-En-30569,Blake lively is flawless,joy,0: no joy can be inferred,0,Blake lively is flawless,blake lively is flawless
2017-En-30357,"Accept the challenges, So that you may feel the exhilaration of victory.\n\nTOMIHO IpaglabanMo TapingDay2",joy,1: low amount of joy can be inferred,1,"Accept the challenges, So that you may feel the exhilaration of victory.\n\nTOMIHO IpaglabanMo TapingDay2","accept the challenges, so that you may feel the exhilaration of victory.\n\ntomiho ipaglabanmo tapingday2"
2017-En-31378,@LethbridgeCity I love how playful you guys are becoming -- both on- and offline! 🚗 🚕 🚙 #beepbeep,joy,2: moderate amount of joy can be inferred,2,I love how playful you guys are becoming -- both on- and offline! automobile taxi sport_utility_vehicle beepbeep,i love how playful you guys are becoming -- both on- and offline! automobile taxi sport_utility_vehicle beepbeep
2017-En-30574,When your rewatching glee and break down in tears all over again. 😭😢 #glee,joy,0: no joy can be inferred,0,When your rewatching glee and break down in tears all over again. loudly_crying_facecrying_face glee,when your rewatching glee and break down in tears all over again. loudly_crying_facecrying_face glee
2017-En-30476,A cheerful sloth annotated old books about a very good man then the gods ended evil.,joy,1: low amount of joy can be inferred,1,A cheerful sloth annotated old books about a very good man then the gods ended evil.,a cheerful sloth annotated old books about a very good man then the gods ended evil.
2017-En-30966,"I mean, is she supposed to seem joyous when she's talking Rodrigo Duterte, ISIS, the American economy, etc.? Think about what you're saying.",joy,0: no joy can be inferred,0,"I mean, is she supposed to seem joyous when she's talking Rodrigo Duterte, ISIS, the American economy, etc.? Think about what you're saying.","i mean, is she supposed to seem joyous when she's talking rodrigo duterte, isis, the american economy, etc.? think about what you're saying."
2017-En-30338,Watch this amazing live.ly broadcast by @flydudern #lively #musically,joy,1: low amount of joy can be inferred,1,Watch this amazing live.ly broadcast by lively musically,watch this amazing live.ly broadcast by lively musically
2017-En-31572,Sanatana Lopez is definitely me 😂 #glee,joy,2: moderate amount of joy can be inferred,2,Sanatana Lopez is definitely me face_with_tears_of_joy glee,sanatana lopez is definitely me face_with_tears_of_joy glee
2017-En-31073,"@Tjsotomayor snow pig,  that's hilarious. Lmaooo",joy,3: high amount of joy can be inferred,3,"snow pig, that's hilarious. Lmaooo","snow pig, that's hilarious. lmaooo"
2017-En-30540,#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; ! #isthereahelplineforthis,joy,1: low amount of joy can be inferred,1,ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with apprehension &amp; ! isthereahelplineforthis,thisisus has messed with my mind &amp; now i'm anticipating the next episode with apprehension &amp; ! isthereahelplineforthis
2017-En-30174,"@HytheHighborne -Sylvia was elated to receive kisses from the little prince, her bright smile clear as she glanced to Garrett and Elyse- --",joy,2: moderate amount of joy can be inferred,2,"-Sylvia was elated to receive kisses from the little prince, her bright smile clear as she glanced to Garrett and Elyse- --","-sylvia was elated to receive kisses from the little prince, her bright smile clear as she glanced to garrett and elyse- --"
2017-En-31373,"@JimRichMoriarty + I am in your life! *He yells* Surprise, surpriiise! *He chirps cheerfully, with a wicked grin on his lips*",joy,2: moderate amount of joy can be inferred,2,"+ I am in your life! *He yells* Surprise, surpriiise! *He chirps cheerfully, with a wicked grin on his lips*","+ i am in your life! *he yells* surprise, surpriiise! *he chirps cheerfully, with a wicked grin on his lips*"
2017-En-30616,@Blancalanka96 thought it'd be fun and it is not fun but on the bright side I don't have to fight for parking,joy,0: no joy can be inferred,0,thought it'd be fun and it is not fun but on the bright side I don't have to fight for parking,thought it'd be fun and it is not fun but on the bright side i don't have to fight for parking
2017-En-30276,I'm a cheery ghost.,joy,2: moderate amount of joy can be inferred,2,I'm a cheery ghost.,i'm a cheery ghost.
2017-En-31529,@simmy_hanley @Schrise also a ,joy,0: no joy can be inferred,0,also a,also a
2017-En-30845,"A cheerful heart is good medicine, but a broken spirit saps a person's strength.' {Proverbs 17:22} #WednesdayWisdom",joy,0: no joy can be inferred,0,"A cheerful heart is good medicine, but a broken spirit saps a person's strength.' {Proverbs 1722} WednesdayWisdom","a cheerful heart is good medicine, but a broken spirit saps a person's strength.' {proverbs 1722} wednesdaywisdom"
